,영화명,감독,배급사,개봉일,국적,스크린수,매출액,관객수,장르,등급,연도
0,스페니쉬 아파트먼트,세드릭 클래피쉬,이십세기폭스필름코퍼레이션,2004.1.1,스페인,0,0,"8,840",코미디,15세관람가,2004
1,라스트 사무라이,에드워드 즈윅,워너브러더스 코리아(주),2004.1.9,미국,0,0,"1,263,200",액션,15세관람가,2004
2,내사랑 싸가지,신동엽,(주)시네마서비스,2004.1.16,한국,0,0,"1,513,000",코미디,12세관람가,2004
3,말죽거리 잔혹사,유하,CJ ENM,2004.1.16,한국,0,0,"3,115,767",액션,15세관람가,2004
4,브라더 베어,"애론 블레이즈,로버트 워커",한국소니픽쳐스릴리징브에나비스타영화㈜,2004.1.16,미국,0,0,"352,691",드라마,전체관람가,2004
5,빙우,김은숙,(주)쇼박스,2004.1.16,한국,0,0,"216,676",드라마,12세관람가,2004
6,피터 팬,P.J. 호건,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.1.16,미국,0,0,"694,782",어드벤처,전체관람가,2004
7,페이첵,오우삼,CJ ENM,2004.1.22,미국,0,0,"600,067",액션,15세관람가,2004
8,곰이 되고 싶어요,야니크 하스트럽,필름뱅크(주),2004.1.30,덴마크,0,0,"24,339",드라마,전체관람가,2004
9,그녀를 모르면 간첩,박한준,(주)쇼박스,2004.1.30,한국,0,0,"137,413",코미디,15세관람가,2004
10,런어웨이,게리 플레더,이십세기폭스필름코퍼레이션,2004.1.30,미국,0,0,"80,030",스릴러,15세관람가,2004
11,안녕! 유에프오,김진민,(주)튜브엔터테인먼트,2004.1.30,한국,0,0,"180,513",드라마,전체관람가,2004
12,자토이치,기타노 다케시,"(주)영화사 진진,인터비스앤파트너스(주)",2004.1.30,일본,0,0,"126,748",액션,15세관람가,2004
13,태극기 휘날리며,강제규,"(주)다자인소프트,(주)쇼박스",2004.2.5,한국,0,0,"11,746,135",전쟁,15세관람가,2004
14,베이직,존 맥티어난,코리아픽쳐스(주),2004.2.6,미국,0,0,"49,900",액션,15세관람가,2004
15,마법경찰 갈갈이와 옥동자,이한열,콜럼비아트라이스타㈜,2004.2.13,한국,0,0,"18,346",코미디,전체관람가,2004
16,머나먼 사랑,마틴 캠벨,UIP코리아,2004.2.13,미국,0,0,"15,000",드라마,15세관람가,2004
17,미소,박경희,미소필름,2004.2.13,한국,0,0,"1,500",드라마,15세관람가,2004
18,사랑할 때 버려야 할 아까운 것들,낸시 마이어스,워너브러더스 코리아(주),2004.2.13,미국,0,0,"640,830",코미디,15세관람가,2004
19,스파이 키드 3D,로버트 로드리게즈,CJ ENM,2004.2.13,미국,0,0,"213,051",액션,전체관람가,2004
20,아나토미 2,스테판 루조비츠키,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.2.13,독일,0,0,3,공포(호러),15세관람가,2004
21,알게 될거야,자크 리베트,(주)스폰지이엔티,2004.2.13,프랑스,0,0,"3,283",드라마,15세관람가,2004
22,엘시드 - 전설의 영웅,호셉 포조,아우라엔터테인먼트,2004.2.13,스페인,0,0,"6,004",사극,전체관람가,2004
23,열두명의 웬수들,숀 레비,이십세기폭스필름코퍼레이션,2004.2.13,미국,0,0,"69,350",코미디,전체관람가,2004
24,그녀를 믿지 마세요,배형준,(주)시네마서비스,2004.2.20,한국,0,0,"1,204,000",코미디,12세관람가,2004
25,목포는 항구다,김지훈,코리아픽쳐스(주),2004.2.20,한국,0,0,"1,795,700",드라마,15세관람가,2004
26,벨리 오브 비스트,정소동,"(유)영화사 화수분,(주)그림상자",2004.2.20,영국,0,0,208,액션,15세관람가,2004
27,사랑도 통역이 되나요?,소피아 코폴라,CJ ENM,2004.2.20,미국,0,0,"112,127",멜로/로맨스,15세관람가,2004
28,사무라이,지오다노 게데리니,에이펙스엔터테인먼트,2004.2.20,프랑스,0,0,"5,216",액션,15세관람가,2004
29,아들,"장 피에르 다르덴,뤽 다르덴",(주)동숭아트센터,2004.2.20,프랑스,0,0,"3,300",드라마,18세관람가,2004
30,욕망,김응수,,2004.2.20,한국,0,0,"1,150",드라마,18세관람가,2004
31,콜드 마운틴,안소니 밍겔라,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.2.20,미국,0,0,"197,465",전쟁,15세관람가,2004
32,리지 맥과이어,짐 펄,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.2.27,미국,0,0,442,코미디,전체관람가,2004
33,베로니카 게린,조엘 슈마허,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.2.27,아일랜드,0,0,233,드라마,15세관람가,2004
34,붙어야 산다,"바비 패럴리,피터 패럴리",이십세기폭스필름코퍼레이션,2004.2.27,미국,0,0,"25,450",코미디,12세관람가,2004
35,브링 다운 더 하우스,아담 쉥크만,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.2.27,미국,0,0,292,코미디,15세관람가,2004
36,스쿨 오브 락,리차드 링클레이터,"윤스,UIP코리아",2004.2.27,영국,0,0,"115,000",코미디,"12세이상관람가,전체관람가",2004
37,신설국,코토 코이치,(주)동아수출공사,2004.2.27,일본,0,0,"4,799",드라마,18세관람가,2004
38,실종,론 하워드,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.2.27,미국,0,0,"3,511",스릴러,15세관람가,2004
39,타임라인,리차드 도너,(주)튜브엔터테인먼트,2004.2.27,미국,0,0,"79,650",SF,15세관람가,2004
40,8명의 여인들,프랑수아 오종,무비즈엔터테인먼트㈜,2004.2.27,프랑스,0,0,0,코미디,15세관람가,2004
41,러브 미 이프 유 대어,얀 사뮤엘,(주)엔터모드,2004.3.5,프랑스,0,0,"54,000",멜로/로맨스,15세관람가,2004
42,빅 피쉬,팀 버튼,"(주)팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜",2004.3.5,미국,0,0,"244,421",판타지,"12세이상관람가,12세관람가",2004
43,사마리아,김기덕,쇼이스트(주),2004.3.5,한국,0,0,"172,000",드라마,18세관람가,2004
44,휴먼 스테인,로버트 벤튼,(주)쇼박스,2004.3.5,미국,0,0,"29,346",드라마,15세관람가,2004
45,아웃 오브 타임,칼 프랭클린,이십세기폭스필름코퍼레이션,2004.3.12,미국,0,0,"17,060",스릴러,15세관람가,2004
46,어깨동무,조진규,CJ ENM,2004.3.12,한국,0,0,"545,735",코미디,15세관람가,2004
47,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,강석범,(주)시네마서비스,2004.3.12,한국,0,0,"830,000",코미디,12세관람가,2004
48,헌티드,윌리엄 프리드킨,(주)튜브엔터테인먼트,2004.3.12,미국,0,0,"81,973",액션,18세관람가,2004
49,고독이 몸부림칠 때,이수인,"(주)쇼박스,영화사풍년상회(주)",2004.3.19,한국,0,0,"34,349",코미디,15세관람가,2004
50,내 생애 최고의 데이트,로버트 루케틱,CJ ENM,2004.3.19,미국,0,0,"59,652",멜로/로맨스,12세관람가,2004
51,모나리자 스마일,마이크 뉴웰,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.3.19,미국,0,0,"120,995",드라마,12세관람가,2004
52,송환,김동원,㈜인디스토리,2004.3.19,한국,0,0,"23,496",다큐멘터리,12세관람가,2004
53,씬,브라이언 헬겔랜드,이십세기폭스필름코퍼레이션,2004.3.19,미국,0,0,590,공포(호러),15세관람가,2004
54,히달고,조 존스톤,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.3.19,미국,0,0,"121,578",액션,12세관람가,2004
55,못말리는 이혼녀,레지날드 허들린,코리아픽쳐스(주),2004.3.25,독일,0,0,163,코미디,15세관람가,2004
56,맹부삼천지교,김지영,CJ ENM,2004.3.26,한국,0,0,"860,044",코미디,15세관람가,2004
57,스나이퍼 2,크레이그 R. 백슬리,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.3.26,미국,0,0,64,액션,12세관람가,2004
58,아메리칸 러브홀릭,마이클 데이비스,에이펙스엔터테인먼트,2004.3.26,미국,0,0,"9,321",멜로/로맨스,18세관람가,2004
59,아홉살 인생,윤인호,(주)시네마서비스,2004.3.26,한국,0,0,"352,182",드라마,전체관람가,2004
60,허니,빌 우드러프,UIP코리아,2004.3.26,미국,0,0,"100,000",드라마,15세관람가,2004
61,마지막 늑대,구자홍,"(주)쇼박스,영화사풍년상회(주)",2004.4.1,한국,0,0,"158,727",코미디,15세관람가,2004
62,고티카,마티유 카소비츠,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.4.2,미국,0,0,"90,062",공포(호러),15세관람가,2004
63,어린 신부,김호준,코리아픽쳐스(주),2004.4.2,한국,0,0,"3,149,500",코미디,12세관람가,2004
64,패션 오브 크라이스트,멜 깁슨,"(주)이수C&E,이십세기폭스필름코퍼레이션",2004.4.2,미국,0,0,"2,523,700",드라마,15세관람가,2004
65,폴리와 함께,존 햄버그,UIP코리아,2004.4.2,미국,0,0,"170,000",멜로/로맨스,15세관람가,2004
66,프리키 프라이데이,마크 S. 워터스,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.4.2,미국,0,0,"9,815",코미디,전체관람가,2004
67,바람의 전설,박정우,(주)시네마서비스,2004.4.9,한국,0,0,"266,000",드라마,15세관람가,2004
68,배틀로얄 2 - 레퀴엠,"후카사쿠 킨지,후카사쿠 켄타",(주)동아수출공사,2004.4.9,일본,0,0,"20,488",액션,15세관람가,2004
69,연애사진,츠츠미 유키히코,(주)스폰지이엔티,2004.4.9,일본,0,0,"12,981",드라마,15세관람가,2004
70,저지 걸,케빈 스미스,CJ ENM,2004.4.9,미국,0,0,"184,049",멜로/로맨스,12세관람가,2004
71,판타스틱 플래닛,르네 랄루,㈜영화사 백두대간,2004.4.9,프랑스,0,0,"10,306",애니메이션,12세관람가,2004
72,범죄의 재구성,최동훈,(주)쇼박스,2004.4.15,한국,0,0,"2,129,358",스릴러,18세관람가,2004
73,첫키스만 50번째,피터 시걸,"팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜",2004.4.15,미국,0,0,"293,376",코미디,"15세관람가,15세이상관람가",2004
