■ 개봉일람_연도별,,,,,,,,,,,,,,,,,
- 조회일: 2021-11-05,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2004~2020???국적 : 전체???영화명 : 전체???개봉일 : 2004-01-01~2020-12-31???영화구분 : 전체???영화유형 : 개봉영화??? ],,,,,,,,,,,,,,,,,
<,,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
1,스페니쉬 아파트먼트,세드릭 클래피쉬,,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2004-01-01,개봉영화,장편,스페인,0,0,"8,840",0,"8,840",코미디,15세관람가,독립/예술영화
2,라스트 사무라이,에드워드 즈윅,,워너브러더스 코리아(주),워너브러더스 코리아(주),2004-01-09,개봉영화,장편,미국,0,0,"1,263,200",0,"478,000",액션,15세관람가,일반영화
3,내사랑 싸가지,신동엽,"제이웰엔터테인먼트(주),(주)포이보스",,(주)시네마서비스,2004-01-16,개봉영화,장편,한국,0,0,"1,513,000",0,"351,500",코미디,12세관람가,일반영화
4,말죽거리 잔혹사,유하,"(주)싸이더스,㈜싸이더스픽쳐스",,CJ ENM,2004-01-16,개봉영화,장편,한국,0,0,"3,115,767",0,"1,023,601",액션,15세관람가,일반영화
5,브라더 베어,"애론 블레이즈,로버트 워커",,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-01-16,개봉영화,장편,미국,0,0,"352,691",0,"118,339",드라마,전체관람가,일반영화
6,빙우,김은숙,쿠앤필름(주),,(주)쇼박스,2004-01-16,개봉영화,장편,한국,0,0,"216,676",0,"81,040",드라마,12세관람가,일반영화
7,피터 팬,P.J. 호건,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-01-16,개봉영화,장편,미국,0,0,"694,782",0,"190,571",어드벤처,전체관람가,일반영화
8,페이첵,오우삼,,파라마운트,CJ ENM,2004-01-22,개봉영화,장편,미국,0,0,"600,067",0,"232,964",액션,15세관람가,일반영화
9,곰이 되고 싶어요,야니크 하스트럽,,,필름뱅크(주),2004-01-30,개봉영화,장편,덴마크,0,0,"24,339",0,"13,010",드라마,전체관람가,독립/예술영화
10,그녀를 모르면 간첩,박한준,(주)엠쓰리엔터테인먼트,,(주)쇼박스,2004-01-30,개봉영화,장편,한국,0,0,"137,413",0,"32,884",코미디,15세관람가,일반영화
11,런어웨이,게리 플레더,,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2004-01-30,개봉영화,장편,미국,0,0,"80,030",0,"39,663",스릴러,15세관람가,일반영화
12,안녕! 유에프오,김진민,우리영화(주),,(주)튜브엔터테인먼트,2004-01-30,개봉영화,장편,한국,0,0,"180,513",0,"65,000",드라마,전체관람가,일반영화
13,자토이치,기타노 다케시,,"(주)영화사 진진,(주)스폰지이엔티","(주)영화사 진진,인터비스앤파트너스(주)",2004-01-30,개봉영화,장편,일본,0,0,"126,748",0,"65,840",액션,15세관람가,독립/예술영화
14,태극기 휘날리며,강제규,강제규필름,,"(주)다자인소프트,(주)쇼박스",2004-02-05,개봉영화,장편,한국,0,0,"11,746,135",0,"3,509,563",전쟁,15세관람가,일반영화
15,베이직,존 맥티어난,,코리아픽쳐스(주),코리아픽쳐스(주),2004-02-06,개봉영화,장편,미국,0,0,"49,900",0,"19,700",액션,15세관람가,일반영화
16,마법경찰 갈갈이와 옥동자,이한열,(주)토토엔터테인먼트,,콜럼비아트라이스타㈜,2004-02-13,개봉영화,장편,한국,0,0,"18,346",0,"2,615",코미디,전체관람가,일반영화
17,머나먼 사랑,마틴 캠벨,,UIP코리아,UIP코리아,2004-02-13,개봉영화,장편,미국,0,0,"15,000",0,"1,582",드라마,15세관람가,일반영화
18,미소,박경희,"미소필름,(주)가을엔터테인먼트",,미소필름,2004-02-13,개봉영화,장편,한국,0,0,"1,500",0,613,드라마,15세관람가,독립/예술영화
19,사랑할 때 버려야 할 아까운 것들,낸시 마이어스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2004-02-13,개봉영화,장편,미국,0,0,"640,830",0,"411,765",코미디,15세관람가,일반영화
20,스파이 키드 3D,로버트 로드리게즈,,(주)태원엔터테인먼트,CJ ENM,2004-02-13,개봉영화,장편,미국,0,0,"213,051",0,"57,785",액션,전체관람가,일반영화
21,아나토미 2,스테판 루조비츠키,콜럼비아트라이스타영화㈜,,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-02-13,개봉영화,장편,독일,0,0,3,0,3,공포(호러),15세관람가,일반영화
22,알게 될거야,자크 리베트,스튜디오 카날,(주)스폰지이엔티,(주)스폰지이엔티,2004-02-13,개봉영화,장편,프랑스,0,0,"3,283",0,"1,703",드라마,15세관람가,독립/예술영화
23,엘시드 - 전설의 영웅,호셉 포조,,㈜코리아스크린,아우라엔터테인먼트,2004-02-13,개봉영화,장편,스페인,0,0,"6,004",0,"1,432",사극,전체관람가,일반영화
24,열두명의 웬수들,숀 레비,,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2004-02-13,개봉영화,장편,미국,0,0,"69,350",0,"31,430",코미디,전체관람가,일반영화
25,그녀를 믿지 마세요,배형준,㈜영화사시선,,(주)시네마서비스,2004-02-20,개봉영화,장편,한국,0,0,"1,204,000",0,"374,000",코미디,12세관람가,일반영화
26,목포는 항구다,김지훈,기획시대(주),,코리아픽쳐스(주),2004-02-20,개봉영화,장편,한국,0,0,"1,795,700",0,"382,100",드라마,15세관람가,일반영화
27,벨리 오브 비스트,정소동,GFT엔터테인먼트,"(주)시네마천국,(주)그림상자","(유)영화사 화수분,(주)그림상자",2004-02-20,개봉영화,장편,영국,0,0,208,0,208,액션,15세관람가,일반영화
28,사랑도 통역이 되나요?,소피아 코폴라,아메리칸조이트로프,CJ ENM,CJ ENM,2004-02-20,개봉영화,장편,미국,0,0,"112,127",0,"70,220",멜로/로맨스,15세관람가,독립/예술영화
29,사무라이,지오다노 게데리니,,에이펙스엔터테인먼트,에이펙스엔터테인먼트,2004-02-20,개봉영화,장편,프랑스,0,0,"5,216",0,128,액션,15세관람가,일반영화
30,아들,"장 피에르 다르덴,뤽 다르덴",,"(주)엔케이컨텐츠,(주)동숭아트센터",(주)동숭아트센터,2004-02-20,개봉영화,장편,프랑스,0,0,"3,300",0,"2,520",드라마,18세관람가,독립/예술영화
31,욕망,김응수,(주)명필름,,,2004-02-20,개봉영화,장편,한국,0,0,"1,150",0,622,드라마,18세관람가,독립/예술영화
32,콜드 마운틴,안소니 밍겔라,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-02-20,개봉영화,장편,미국,0,0,"197,465",0,"89,750",전쟁,15세관람가,일반영화
33,리지 맥과이어,짐 펄,"월트 디즈니 픽쳐스,틴 라이프 프로덕션",월트디즈니컴퍼니코리아(주),한국소니픽쳐스릴리징브에나비스타영화㈜,2004-02-27,개봉영화,장편,미국,0,0,442,0,442,코미디,전체관람가,일반영화
34,베로니카 게린,조엘 슈마허,터치스톤 픽처스,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-02-27,개봉영화,장편,아일랜드,0,0,233,0,233,드라마,15세관람가,일반영화
35,붙어야 산다,"바비 패럴리,피터 패럴리",이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2004-02-27,개봉영화,장편,미국,0,0,"25,450",0,"9,384",코미디,12세관람가,일반영화
36,브링 다운 더 하우스,아담 쉥크만,터치스톤 픽처스,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-02-27,개봉영화,장편,미국,0,0,292,0,292,코미디,15세관람가,일반영화
37,스쿨 오브 락,리차드 링클레이터,,"(주)피터팬픽쳐스,UIP코리아","윤스,UIP코리아",2004-02-27,개봉영화,장편,영국,0,0,"115,000",0,"55,063",코미디,"12세이상관람가,전체관람가",독립/예술영화
38,신설국,코토 코이치,케이에스에스,(주)동아수출공사,(주)동아수출공사,2004-02-27,개봉영화,장편,일본,0,0,"4,799",0,"1,967",드라마,18세관람가,일반영화
39,실종,론 하워드,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-02-27,개봉영화,장편,미국,0,0,"3,511",0,439,스릴러,15세관람가,일반영화
40,타임라인,리차드 도너,파라마운트 픽쳐스,몽타쥬엔터테인먼트(주),(주)튜브엔터테인먼트,2004-02-27,개봉영화,장편,미국,0,0,"79,650",0,"27,251",SF,15세관람가,일반영화
41,8명의 여인들,프랑수아 오종,,케인컴(주),무비즈엔터테인먼트㈜,2004-02-27,개봉영화,장편,프랑스,0,0,0,0,824,코미디,15세관람가,독립/예술영화
42,러브 미 이프 유 대어,얀 사뮤엘,"프랑스2시네마,스튜디오 카날",(주)엔터모드,(주)엔터모드,2004-03-05,개봉영화,장편,프랑스,0,0,"54,000",0,"30,454",멜로/로맨스,15세관람가,일반영화
43,빅 피쉬,팀 버튼,"더 자눅 컴퍼니,콜럼비아트라이스타픽쳐스,코헨 프로덕션","(주)제이브로,포레스트,콜럼비아트라이스타영화㈜","(주)팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜",2004-03-05,개봉영화,장편,미국,0,0,"244,421",0,"156,818",판타지,"12세이상관람가,12세관람가",일반영화
44,사마리아,김기덕,(주)김기덕 필름,,쇼이스트(주),2004-03-05,개봉영화,장편,한국,0,0,"172,000",0,"61,972",드라마,18세관람가,독립/예술영화
45,휴먼 스테인,로버트 벤튼,미라맥스 필름즈,(주)쇼박스,(주)쇼박스,2004-03-05,개봉영화,장편,미국,0,0,"29,346",0,"15,685",드라마,15세관람가,일반영화
46,아웃 오브 타임,칼 프랭클린,메트로-골드윈-마이어,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2004-03-12,개봉영화,장편,미국,0,0,"17,060",0,"8,660",스릴러,15세관람가,일반영화
47,어깨동무,조진규,(주)씨케이픽쳐스,,CJ ENM,2004-03-12,개봉영화,장편,한국,0,0,"545,735",0,"127,023",코미디,15세관람가,일반영화
48,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,강석범,㈜제니스엔터테인먼트,,(주)시네마서비스,2004-03-12,개봉영화,장편,한국,0,0,"830,000",0,"341,000",코미디,12세관람가,일반영화
